# step           OCL           OBL   coupled_OBL uncoupled_OBL
    64          5.20         18.00         17.70          0.31
    65          5.23         17.53         17.25          0.27
    66          6.44         16.59         16.29          0.31
    67          7.39         15.74         15.43          0.31
    68          7.10         15.40         15.09          0.31
    69          6.49         15.20         14.90          0.31
    70          7.29         14.66         14.43          0.22
    71          7.44         14.36         14.19          0.17
    72          8.02         13.76         13.57          0.19
    73          8.01         13.54         13.37          0.17
    74          8.77         13.42         13.28          0.14
    75          8.43         13.24         13.07          0.17
    76          8.27         13.05         12.93          0.12
    77          8.63         12.92         12.78          0.14
    78          8.68         12.92         12.73          0.19
    79          8.10         13.14         12.92          0.22
    80          7.94         12.82         12.65          0.17
    81          7.54         12.75         12.59          0.15
    82          7.92         12.84         12.66          0.17
    83          8.18         12.89         12.72          0.17
    84          7.64         12.79         12.67          0.12
    85          7.08         12.96         12.84          0.12
    86          4.79         14.01         13.82          0.19
    87          2.37         15.51         15.23          0.27
    88          0.89         16.66         16.28          0.38
    89          0.50         18.13         17.65          0.48
    90          0.17         19.80         19.25          0.55
    91          0.12         21.23         20.61          0.62
    92          0.00         22.33         21.71          0.62
    93          0.03         23.50         23.04          0.46
    94          0.00         25.09         24.49          0.60
    95          0.00         26.30         25.61          0.68
    96          0.00         27.18         26.53          0.65
    97          0.00         28.12         27.52          0.60
    98          0.00         27.68         27.06          0.62
    99          0.00         28.05         27.28          0.77
   100          0.00         27.88         27.09          0.79
   101          0.00         27.51         26.79          0.72
   102          0.00         26.79         26.15          0.63
   103          0.00         26.39         25.69          0.70
   104          0.00         25.64         24.85          0.78
   105          0.00         24.79         23.79          1.01
   106          0.00         23.63         22.47          1.16
   107          0.00         22.16         20.90          1.26
   108          0.00         20.94         19.41          1.53
   109          0.00         19.37         17.70          1.67
   110          0.00         17.94         16.00          1.94
   111          0.00         15.89         14.14          1.75
   112          0.00         14.68         12.87          1.82
   113          0.00         13.79         11.96          1.83
   114          0.00         12.29         10.51          1.78
   115          0.00         11.75          9.61          2.14
   116          0.00         10.63          8.43          2.21
   117          0.00          9.80          7.71          2.09
   118          0.00          8.59          6.43          2.16
   119          0.00          7.57          5.40          2.17
   120          0.00          6.94          4.77          2.17
   121          0.00          6.56          4.04          2.53
   122          0.00          6.07          3.63          2.44
   123          0.00          5.97          3.24          2.73
   124          0.00          6.07          3.26          2.82
   125          0.00          5.38          2.76          2.61
   126          0.00          5.02          2.56          2.46
   127          0.00          5.05          2.39          2.66
   128          0.00          4.87          2.22          2.64
   129          0.00          4.39          2.05          2.34
   130          0.00          4.44          1.78          2.66
   131          0.00          4.51          1.73          2.78
   132          0.00          4.27          1.54          2.73
   133          0.00          4.36          1.19          3.17
   134          0.00          3.99          1.12          2.87
   135          0.00          3.93          1.09          2.85
   136          0.00          3.76          1.07          2.70
   137          0.00          3.65          1.15          2.49
   138          0.02          3.54          1.03          2.51
   139          0.19          3.26          0.92          2.34
   140          0.17          3.31          0.93          2.37
   141          0.08          3.10          0.81          2.29
   142          0.00          3.27          0.78          2.49
   143          0.00          3.24          0.90          2.34
   144          0.00          2.90          0.63          2.27
   145          0.08          3.10          0.51          2.59
   146          0.08          3.27          0.53          2.75
   147          0.08          3.24          0.53          2.71
   148          0.08          3.08          0.64          2.44
   149          0.08          2.76          0.61          2.15
   150          0.14          3.08          0.71          2.37
   151          0.14          2.97          0.56          2.41
   152          0.25          3.24          0.51          2.73
   153          0.20          2.98          0.42          2.56
   154          0.14          2.56          0.39          2.17
   155          0.10          3.03          0.47          2.56
   156          0.19          3.29          0.53          2.76
   157          0.25          2.80          0.32          2.48
