# step           OCL           OBL   coupled_OBL uncoupled_OBL
   146          8.29         15.55         15.36          0.19
   147          8.60         15.58         15.41          0.17
   148          8.06         15.31         15.09          0.22
   149          7.78         15.23         14.95          0.27
   150          8.03         15.57         15.33          0.24
   151          7.47         15.46         15.33          0.14
   152          6.85         15.37         15.20          0.17
   153          6.94         15.25         15.08          0.17
   154          7.55         15.61         15.50          0.10
   155          7.47         15.81         15.68          0.14
   156          6.89         16.22         16.03          0.19
   157          6.22         16.38         16.13          0.26
   158          7.56         16.81         16.55          0.26
   159          8.79         17.15         16.81          0.34
   160          8.03         17.18         16.85          0.33
   161          6.50         17.59         17.26          0.33
   162          6.70         17.63         17.32          0.31
   163          5.90         17.88         17.66          0.22
   164          5.58         18.29         18.02          0.27
   165          6.69         18.38         18.12          0.26
   166          7.20         18.50         18.26          0.24
   167          6.33         18.83         18.59          0.24
   168          6.45         18.79         18.57          0.22
   169          6.03         19.21         19.00          0.21
   170          6.59         19.43         19.21          0.22
   171          6.47         18.99         18.65          0.34
   172          6.50         19.29         18.98          0.31
   173          6.17         19.35         19.06          0.29
   174          5.29         19.71         19.47          0.24
   175          4.84         19.38         19.21          0.17
   176          5.16         18.99         18.82          0.17
   177          5.49         19.14         18.86          0.27
   178          6.31         18.63         18.34          0.29
   179          6.81         18.24         18.00          0.24
   180          6.18         18.05         17.81          0.24
   181          5.68         18.04         17.77          0.27
   182          5.42         17.96         17.61          0.34
   183          5.51         17.54         17.25          0.29
   184          5.76         17.82         17.44          0.38
   185          6.61         17.93         17.54          0.39
   186          7.07         17.56         17.16          0.39
   187          7.48         17.15         16.77          0.38
   188          7.04         16.42         16.18          0.24
   189          6.13         16.17         15.91          0.26
   190          6.90         15.36         15.13          0.22
   191          6.99         15.41         15.11          0.31
   192          6.92         15.20         14.84          0.36
   193          6.47         15.36         14.95          0.41
   194          7.01         15.36         14.91          0.45
   195          7.87         15.19         14.82          0.38
   196          7.73         15.09         14.80          0.29
   197          7.64         15.74         15.43          0.31
   198          7.74         15.88         15.51          0.38
   199          8.37         15.94         15.55          0.39
   200          7.39         15.92         15.58          0.34
   201          7.02         15.27         15.06          0.21
   202          7.15         15.49         15.27          0.22
   203          7.38         15.34         15.16          0.19
   204          7.15         15.05         14.86          0.19
   205          6.63         14.82         14.61          0.21
   206          7.18         14.72         14.53          0.19
   207          6.92         14.69         14.47          0.22
   208          7.15         14.68         14.44          0.24
   209          7.81         14.59         14.34          0.24
   210          7.99         14.48         14.34          0.14
   211          7.78         14.22         14.08          0.14
   212          8.56         14.38         14.19          0.19
   213          7.92         14.49         14.31          0.17
   214          7.99         14.65         14.53          0.12
   215          7.44         14.64         14.50          0.14
   216          7.46         14.76         14.57          0.19
   217          8.00         15.17         14.97          0.21
   218          8.58         15.24         15.03          0.21
   219          8.38         15.61         15.46          0.16
   220          7.74         16.23         16.09          0.14
   221          7.18         16.29         16.10          0.19
   222          7.01         16.43         16.17          0.26
   223          7.32         16.38         16.11          0.28
   224          7.74         16.78         16.52          0.26
   225          7.28         17.08         16.87          0.21
   226          6.82         17.05         16.89          0.16
   227          6.62         17.09         16.95          0.14
   228          6.31         17.44         17.25          0.19
   229          6.41         17.52         17.33          0.19
   230          5.82         17.69         17.48          0.21
   231          6.66         17.68         17.47          0.21
   232          6.61         17.78         17.64          0.14
   233          5.62         17.88         17.70          0.17
   234          6.61         17.52         17.36          0.16
   235          6.57         18.11         17.94          0.17
   236          5.43         18.63         18.47          0.16
   237          5.55         18.96         18.82          0.14
   238          5.63         19.42         19.25          0.17
   239          5.47         19.71         19.47          0.24
   240          5.37         19.84         19.67          0.17
   241          5.52         19.93         19.81          0.12
   242          5.73         20.32         20.15          0.17
   243          6.09         20.41         20.20          0.21
   244          5.80         20.40         20.14          0.26
   245          5.35         20.15         19.89          0.26
   246          5.18         19.71         19.51          0.21
   247          6.19         19.71         19.50          0.21
   248          6.31         20.18         19.99          0.19
   249          5.30         20.07         19.79          0.28
   250          5.59         19.77         19.43          0.34
   251          5.95         19.67         19.31          0.36
   252          5.05         19.35         18.96          0.40
   253          4.86         19.42         18.90          0.52
   254          4.80         19.24         18.76          0.48
   255          4.89         18.70         18.32          0.38
   256          5.51         18.21         17.82          0.39
   257          6.01         17.73         17.37          0.36
   258          6.04         17.55         17.24          0.31
   259          6.65         17.24         16.95          0.29
   260          6.32         16.94         16.75          0.19
   261          6.23         17.21         16.98          0.22
   262          5.62         17.13         16.87          0.26
   263          5.79         17.02         16.73          0.29
   264          6.58         16.64         16.31          0.33
   265          6.28         16.49         16.16          0.33
   266          7.11         16.18         15.89          0.29
   267          7.63         15.55         15.33          0.22
   268          7.59         15.56         15.29          0.27
   269          7.29         15.26         15.07          0.19
   270          7.04         15.50         15.33          0.17
   271          6.14         15.39         15.10          0.29
   272          6.95         15.23         14.97          0.26
   273          8.28         14.99         14.85          0.14
   274          8.28         14.88         14.71          0.17
   275          7.73         14.49         14.27          0.22
   276          7.84         14.41         14.19          0.22
   277          7.65         14.39         14.17          0.22
   278          6.93         14.49         14.34          0.15
   279          6.65         14.47         14.35          0.12
   280          7.17         14.44         14.32          0.12
   281          6.69         14.26         14.12          0.14
   282          7.18         14.41         14.22          0.19
   283          7.61         14.32         14.16          0.15
   284          7.41         14.85         14.69          0.15
   285          7.15         15.73         15.61          0.12
   286          7.41         16.00         15.86          0.14
   287          7.79         16.28         16.16          0.12
   288          7.46         16.62         16.55          0.07
   289          6.50         16.98         16.89          0.09
   290          6.71         16.97         16.83          0.14
   291          7.05         16.98         16.83          0.15
   292          5.75         16.93         16.74          0.19
   293          6.23         17.14         16.86          0.27
   294          6.76         17.10         16.86          0.24
   295          6.52         17.42         17.21          0.21
   296          5.76         17.41         17.22          0.19
   297          6.34         17.69         17.48          0.21
   298          6.46         17.98         17.78          0.21
   299          6.15         17.97         17.74          0.22
   300          6.41         17.98         17.71          0.27
   301          6.35         17.57         17.35          0.22
   302          5.62         17.63         17.45          0.17
   303          5.55         18.00         17.81          0.19
   304          6.10         18.40         18.22          0.17
   305          5.98         18.55         18.34          0.21
   306          6.39         18.45         18.31          0.14
   307          6.83         18.94         18.75          0.19
   308          6.51         18.74         18.57          0.17
